Id,RankPosition,TeamName,CountryCode,Ranking
374,374,AS Jeunesse Esch,Lux,3.025
375,375,FC Iskra-Stal,Mda,3
376,376,NK Rudar Velenje,Svn,2.975
377,377,VIkingur,Fro,2.95
378,378,FK Renova,Mkd,2.925
379,379,Bohemian FC,Irl,2.9
380,380,TPS Turku,Fin,2.89
381,381,Norway,Nor,2.875
382,382,FK Kukesi,Alb,2.825
383,383,Serbia,Srb,2.775
384,384,MFK KoSice,Svk,2.75
385,385,Qabala FK,Aze,2.75
386,386,Olimpik Baku,Aze,2.75
387,387,Dukla Banska Bystrica,Svk,2.75
388,388,Slovenia,Svn,2.725
389,389,Kecskemeti TE,Hun,2.7
390,390,EB/Streymur,Fro,2.7
391,391,FK Shkendija79,Mkd,2.675
392,392,FC Santa Coloma,And,2.666
393,393,FK Suduva Marijampole,Ltu,2.65
394,394,FK Mogren,Mne,2.625
395,395,IBV Vestmannaeyjar,Isl,2.6
396,396,FC Daugava Daugavpils,Lva,2.6
397,397,FC Kairat Almaty,Kaz,2.575
398,398,FC Ordabasy Shymkent,Kaz,2.575
399,399,FC Atyrau,Kaz,2.575
400,400,KF Tirana,Alb,2.575
401,401,CS Fola Esch,Lux,2.525
402,402,Azerbaijan,Aze,2.5
403,403,FC Tiraspol,Mda,2.5
404,404,FC Nitra,Svk,2.5
405,405,FC Olimpia Balti,Mda,2.5
406,406,Crusaders FC,Nir,2.475
407,407,MTK Budapest,Hun,2.45
408,408,Zalaegerszegi TE,Hun,2.45
409,409,FK Teteks,Mkd,2.425
410,410,FC Torpedo Kutaisi,Geo,2.375
411,411,FC Gagra,Geo,2.375
412,412,FC WIT Georgia,Geo,2.375
413,413,FC Zhetysu Taldykorgan,Kaz,2.325
414,414,KS Flamurtari,Alb,2.325
415,415,FC Shirak,Arm,2.3
416,416,FC Veris,Mda,2.25
417,417,Slovakia,Svk,2.25
418,418,Hungary,Hun,2.2
419,419,Derry City FC,Irl,2.15
420,420,Dundalk FC,Irl,2.15
421,421,RoPS Rovaniemi,Fin,2.14
422,422,JJK Jyvaskyla,Fin,2.14
423,423,FC Sioni Bolnisi,Geo,2.125
424,424,FK Celik NikSic,Mne,2.125
425,425,Mladost Podgorica,Mne,2.125
426,426,Thor Akureyri,Isl,2.1
427,427,KF Laci,Alb,2.075
428,428,Kazakhstan,Kaz,2.075
429,429,FK Dinamo Tirana,Alb,2.075
430,430,FC Mika,Arm,2.05
431,431,Ulisses FC,Arm,2.05
432,432,Moldova,Mda,2
433,433,Glentoran FC,Nir,1.975
434,434,Portadown FC,Nir,1.975
435,435,FK Turnovo,Mkd,1.925
436,436,FK Tauras,Ltu,1.9
437,437,VPS Vaasa,Fin,1.89
438,438,IFK Mariehamn,Fin,1.89
439,439,Georgia,Geo,1.875
440,440,Fram ReykjavIk,Isl,1.85
441,441,Fylkir,Isl,1.85
442,442,SP Tre Penne,Smr,1.849
443,443,JK Sillamae Kalev,Est,1.7
444,444,JK Trans Narva,Est,1.7
445,445,FC Lusitans,And,1.666
446,446,Sporting Fingal FC,Irl,1.65
447,447,FC Siauliai,Ltu,1.65
448,448,Finland,Fin,1.64
449,449,Iceland,Isl,1.6
450,450,FK Jelgava,Lva,1.6
451,451,Hibernians FC,Mlt,1.591
452,452,Sliema Wanderers FC,Mlt,1.591
453,453,Floriana FC,Mlt,1.591
454,454,KS Teuta,Alb,1.575
455,455,KF Vllaznia,Alb,1.575
456,456,KS Besa,Alb,1.575
457,457,Llanelli AFC,Wal,1.575
458,458,FC Banants,Arm,1.55
459,459,CS Grevenmacher,Lux,1.525
460,460,Bosnia and Herzegovina,BiH,1.5
461,461,IF Fuglafjordur,Fro,1.45
462,462,B36 Torshavn,Fro,1.45
463,463,FC USV Eschen/Mauren,Lie,1.45
464,464,NSI RunavIk,Fro,1.45
465,465,UE Santa Coloma,And,1.416
466,466,UE Sant Julia,And,1.416
467,467,FK Atlantas,Ltu,1.4
468,468,Drogheda United FC,Irl,1.4
469,469,FK Banga,Ltu,1.4
470,470,FK Lovren,Mne,1.375
471,471,FC Gandzasar,Arm,1.3
472,472,UN Kaerjeng 97,Lux,1.275
473,473,Glenavon FC,Nir,1.225
474,474,Liechtenstein,Lie,1.2
475,475,Macedonia,Mkd,1.175
476,476,Republic of Ireland,Irl,1.15
477,477,FK Kruoja,Ltu,1.15
478,478,Montenegro,Mne,1.125
479,479,FK Daugava Riga,Lva,1.1
480,480,SP La Fiorita,Smr,1.099
481,481,SP Tre Fiori,Smr,1.099
482,482,AUK Broughton FC,Wal,1.075
483,483,Albania,Alb,1.075
484,484,Prestatyn Town FC,Wal,1.075
485,485,Luxembourg,Lux,1.025
486,486,Northern Ireland,Nir,0.975
487,487,FC Santos Tartu,Est,0.95
488,488,Lithuania,Ltu,0.9
489,489,Latvia,Lva,0.85
490,490,AC Libertas,Smr,0.849
491,491,Malta,Mlt,0.841
492,492,Aberystwyth Town FC,Wal,0.825
493,493,Bala Town FC,Wal,0.825
494,494,Cefn Druids AFC,Wal,0.825
495,495,Neath FC,Wal,0.825
496,496,Port Talbot Town FC,Wal,0.825
497,497,Estonia,Est,0.7
498,498,Faroe Islands,Fro,0.7
499,499,AC Juvenes-Dogana,Smr,0.599
500,500,Wales,Wal,0.575
501,501,Lincoln FC,Gib,0.55
502,502,Armenia,Arm,0.55
503,503,SS Folgore/Falciano,Smr,0.349
504,504,SC Faetano,Smr,0.349
505,505,College Europa FC,Gib,0.3
506,506,Andorra,And,0.166
507,507,San Marino,Smr,0.099
508,508,Gibraltar,Gib,0.05
